"ID","sex","birthclan","birthdate","mothergenetic","mothersocial","father","litterdominance","DNA","litterdominancegenetic","name2","deathconfirmed","deathcause","comments","date_lastsighting"
"A-701",1,"A",2021-08-12,"A-585","A-585","S-329",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-702",1,"A",2021-09-12,"A-658","A-658","M-458",1,0,NA,NA,NA,NA,NA,2022-06-12
"A-703",2,"A",2021-09-12,"A-606","A-606","F-267",1,0,NA,NA,NA,NA,NA,2022-03-12
"A-704",2,"A",2021-09-12,"A-606","A-606","F-267",2,0,NA,NA,NA,NA,NA,2022-12-12
"A-705",2,"A",2021-09-12,"A-546","A-546","E-264",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-706",2,"A",2021-09-12,"A-516","A-516","L-370",1,0,NA,NA,NA,NA,NA,2022-03-12
"A-707",2,"A",2021-09-12,"A-516","A-516","L-370",2,0,NA,NA,NA,NA,NA,2022-12-12
"A-708",1,"A",2021-10-12,"A-638","A-638","N-386",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-709",2,"A",2021-10-12,"A-638","A-638","N-386",2,0,NA,NA,NA,NA,NA,2022-12-12
"A-710",1,"A",2021-11-12,"A-392","A-392","M-339",1,0,NA,NA,NA,NA,NA,2022-10-12
"A-711",2,"A",2021-12-12,"A-460","A-460","N-313",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-712",1,"A",2021-12-12,"A-568","A-568","S-329",1,0,NA,NA,NA,NA,NA,2022-09-12
"A-713",2,"A",2022-02-12,"A-388","A-388","M-339",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-714",1,"A",2022-02-12,"A-388","A-388","M-339",2,0,NA,NA,NA,NA,NA,2022-12-12
"A-715",1,"A",2022-02-12,"A-389","A-389","M-339",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-716",1,"A",2022-03-12,"A-653","A-653","S-389",1,0,NA,NA,NA,NA,NA,2022-10-12
"A-717",1,"A",2022-03-12,"A-616","A-616","F-267",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-718",1,"A",2022-03-12,"A-616","A-616","F-267",2,0,NA,NA,NA,NA,NA,2022-12-12
"A-719",2,"A",2022-03-12,"A-499","A-499","N-317",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-720",1,"A",2022-03-12,"A-499","A-499","N-317",2,0,NA,NA,NA,NA,NA,2022-12-12
"A-721",2,"A",2022-04-12,"A-556","A-556","S-329",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-722",2,"A",2022-04-12,"A-556","A-556","S-329",2,0,NA,NA,NA,NA,NA,2022-12-12
"A-723",2,"A",2022-05-12,"A-633","A-633","T-236",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-724",1,"A",2022-05-12,"A-633","A-633","T-236",2,0,NA,NA,NA,NA,NA,2022-12-12
"A-725",1,"A",2022-05-12,"A-658","A-658","M-458",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-726",1,"A",2022-07-12,"A-646","A-646","S-389",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-727",2,"A",2022-07-12,"A-660","A-660","N-410",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-728",1,"A",2022-08-12,"A-609","A-609","F-267",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-729",1,"A",2022-10-12,"A-638","A-638","N-386",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-730",1,"A",2022-10-12,"A-638","A-638","N-386",2,0,NA,NA,NA,NA,NA,2022-12-12
"A-731",2,"A",2022-11-12,"A-516","A-516","L-370",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-732",1,"A",2022-12-12,"A-388","A-388","N-313",1,0,NA,NA,NA,NA,NA,2022-12-12
"A-733",2,"A",2022-12-12,"A-388","A-388","N-313",2,0,NA,NA,NA,NA,NA,2022-12-12
"A-734",2,"A",2022-12-12,"A-616","A-616","F-267",1,0,NA,NA,NA,NA,NA,2022-12-12
"E-001",2,"E",1992-11-01,"E-004","E-004",NA,1,0,NA,NA,NA,NA,NA,2005-09-12
"E-002",2,"E",1988-04-01,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2000-10-12
"E-003",2,"E",1993-10-10,"E-004","E-004",NA,1,0,NA,NA,NA,NA,NA,2008-01-12
"E-004",2,"E",1986-03-02,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2002-06-12
"E-005",2,"E",1995-03-02,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2005-12-12
"E-040",1,"E",1987-10-01,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1998-12-12
"E-041",1,"E",1990-09-08,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2000-06-12
"E-042",1,"E",1994-07-23,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2011-03-12
"E-043",2,"E",1995-10-17,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,1999-06-12
"E-044",1,"E",1994-10-10,"E-004","E-004",NA,1,0,NA,NA,NA,NA,NA,1997-08-12
"E-045",2,"E",1995-06-30,"E-001","E-001",NA,1,0,NA,NA,NA,NA,NA,1999-12-12
"E-046",1,"E",1995-07-01,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,2008-09-12
"E-080",2,"E",1996-02-01,"E-004","E-004",NA,1,0,NA,NA,NA,NA,NA,2003-01-12
"E-081",1,"E",1996-06-12,"E-002","E-002","E-041",1,0,NA,NA,NA,NA,NA,1999-06-12
"E-082",2,"E",1996-08-12,"E-003","E-003","M-047",1,0,NA,NA,NA,NA,NA,2001-05-12
"E-083",2,"E",1996-11-12,"E-004","E-004","E-041",1,0,NA,NA,NA,NA,NA,2009-12-12
"E-084",1,"E",1996-11-12,"E-004","E-004","E-041",2,0,NA,NA,NA,NA,NA,2008-05-12
"E-085",2,"E",1996-12-12,"E-001","E-001","M-047",1,0,NA,NA,NA,NA,NA,2007-08-12
"E-086",2,"E",1997-09-12,"E-002","E-002","E-041",1,0,NA,NA,NA,NA,NA,2008-11-12
"E-087",2,"E",1997-10-12,"E-004","E-004","E-041",1,0,NA,NA,NA,NA,NA,2003-11-12
"E-088",1,"E",1998-03-12,"E-001","E-001","M-047",1,0,NA,NA,NA,NA,NA,2009-01-12
"E-089",2,"E",1998-03-12,"E-002","E-002","E-041",1,0,NA,NA,NA,NA,NA,1999-01-12
"E-090",1,"E",1998-03-12,"E-002","E-002","E-041",2,0,NA,NA,NA,NA,NA,2015-06-12
"E-091",2,"E",1998-06-12,"E-080","E-080","M-047",1,0,NA,NA,NA,NA,NA,2002-02-12
"E-092",2,"E",1998-10-12,"E-005","E-005","M-047",1,0,NA,NA,NA,NA,NA,2010-02-12
"E-093",1,"E",1998-11-12,"E-001","E-001","M-047",1,0,NA,NA,NA,NA,NA,2009-08-12
"E-094",1,"E",1998-12-12,"E-004","E-004","E-041",1,0,NA,NA,NA,NA,NA,1999-05-12
"E-095",2,"E",1999-01-12,"E-082","E-082","M-087",1,0,NA,NA,NA,NA,NA,2002-02-12
"E-096",1,"E",1999-07-12,"E-003","E-003","M-047",1,0,NA,NA,NA,NA,NA,2007-01-12
"E-097",1,"E",1999-08-12,"E-083","E-083","M-087",1,0,NA,NA,NA,NA,NA,2004-02-12
"E-098",1,"E",1999-08-12,"E-083","E-083","M-087",2,0,NA,NA,NA,NA,NA,2000-06-12
"E-099",2,"E",1999-10-12,"E-080","E-080","M-047",1,0,NA,NA,NA,NA,NA,2000-09-12
"E-100",1,"E",2000-02-12,"E-003","E-003","M-047",1,0,NA,NA,NA,NA,NA,2000-08-12
"E-101",2,"E",2000-05-12,"E-087","E-087","M-084",1,0,NA,NA,NA,NA,NA,2002-03-12
"E-102",1,"E",2000-05-12,"E-087","E-087","M-084",2,0,NA,NA,NA,NA,NA,2010-09-12
"E-103",2,"E",2000-05-12,"E-005","E-005","M-047",1,0,NA,NA,NA,NA,NA,2012-01-12
"E-104",2,"E",2000-05-12,"E-005","E-005","M-047",2,0,NA,NA,NA,NA,NA,2005-04-12
"E-105",1,"E",2000-05-12,"E-001","E-001","M-047",1,0,NA,NA,NA,NA,NA,2001-08-12
"E-106",1,"E",2000-05-12,"E-002","E-002","E-041",1,0,NA,NA,NA,NA,NA,2000-10-12
"E-107",2,"E",2000-06-12,"E-082","E-082","M-087",1,0,NA,NA,NA,NA,NA,2003-11-12
"E-108",1,"E",2000-08-12,"E-080","E-080","M-047",1,0,NA,NA,NA,NA,NA,2008-07-12
"E-109",1,"E",2000-09-12,"E-083","E-083","M-087",1,0,NA,NA,NA,NA,NA,2012-12-12
"E-110",2,"E",2000-09-12,"E-083","E-083","M-087",2,0,NA,NA,NA,NA,NA,2012-07-12
"E-111",2,"E",2000-12-12,"E-091","E-091","T-081",1,0,NA,NA,NA,NA,NA,2009-06-12
"E-112",1,"E",2001-03-12,"E-004","E-004","M-047",1,0,NA,NA,NA,NA,NA,2013-07-12
"E-113",2,"E",2001-04-12,"E-087","E-087","M-084",1,0,NA,NA,NA,NA,NA,2011-01-12
"E-114",1,"E",2001-05-12,"E-082","E-082","M-087",1,0,NA,NA,NA,NA,NA,2006-09-12
"E-115",2,"E",2001-08-12,"E-086","E-086","M-084",1,0,NA,NA,NA,NA,NA,2002-03-12
"E-116",1,"E",2001-09-12,"E-095","E-095","N-102",1,0,NA,NA,NA,NA,NA,2007-04-12
"E-117",2,"E",2001-09-12,"E-005","E-005","M-087",1,0,NA,NA,NA,NA,NA,2010-05-12
"E-118",2,"E",2001-10-12,"E-091","E-091","T-081",1,0,NA,NA,NA,NA,NA,2007-10-12
"E-119",2,"E",2001-10-12,"E-091","E-091","T-081",2,0,NA,NA,NA,NA,NA,2003-09-12
"E-120",2,"E",2001-12-12,"E-001","E-001","M-087",1,0,NA,NA,NA,NA,NA,2010-06-12
"E-121",2,"E",2002-01-12,"E-087","E-087","M-084",1,0,NA,NA,NA,NA,NA,2004-02-12
"E-122",2,"E",2002-01-12,"E-083","E-083","M-087",1,0,NA,NA,NA,NA,NA,2011-12-12
"E-123",1,"E",2002-07-12,"E-080","E-080","M-087",1,0,NA,NA,NA,NA,NA,2011-11-12
"E-124",1,"E",2002-07-12,"E-086","E-086","M-084",1,0,NA,NA,NA,NA,NA,2003-02-12
"E-125",2,"E",2002-12-12,"E-085","E-085","M-087",1,0,NA,NA,NA,NA,NA,2003-05-12
"E-126",2,"E",2002-12-12,"E-001","E-001","M-087",1,0,NA,NA,NA,NA,NA,2003-05-12
"E-127",2,"E",2003-03-12,"E-003","E-003","M-087",1,0,NA,NA,NA,NA,NA,2006-07-12
"E-128",2,"E",2003-05-12,"E-001","E-001","M-087",1,0,NA,NA,NA,NA,NA,2006-02-12
"E-129",2,"E",2003-06-12,"E-087","E-087","M-084",1,0,NA,NA,NA,NA,NA,2004-10-12
"E-130",2,"E",2003-06-12,"E-087","E-087","M-084",2,0,NA,NA,NA,NA,NA,2020-02-12
"E-131",1,"E",2003-09-12,"E-005","E-005","M-087",1,0,NA,NA,NA,NA,NA,2008-05-12
"E-132",2,"E",2003-09-12,"E-005","E-005","M-087",2,0,NA,NA,NA,NA,NA,2004-11-12
"E-133",2,"E",2003-11-12,"E-104","E-104","T-092",1,0,NA,NA,NA,NA,NA,2006-06-12
"E-134",2,"E",2004-03-12,"E-003","E-003","M-087",1,0,NA,NA,NA,NA,NA,2007-04-12
"E-135",1,"E",2004-03-12,"E-003","E-003","M-087",2,0,NA,NA,NA,NA,NA,2006-05-12
"E-136",2,"E",2004-03-12,"E-001","E-001","M-087",1,0,NA,NA,NA,NA,NA,2008-09-12
"E-137",1,"E",2004-03-12,"E-001","E-001","M-087",2,0,NA,NA,NA,NA,NA,2006-04-12
"E-138",2,"E",2004-04-12,"E-083","E-083","M-087",1,0,NA,NA,NA,NA,NA,2009-06-12
"E-139",1,"E",2004-06-12,"E-111","E-111","T-092",1,0,NA,NA,NA,NA,NA,2010-07-12
"E-140",2,"E",2004-06-12,"E-086","E-086","M-084",1,0,NA,NA,NA,NA,NA,2009-10-12
"E-141",1,"E",2004-07-12,"E-110","E-110","T-092",1,0,NA,NA,NA,NA,NA,2014-07-12
"E-142",1,"E",2004-08-12,"E-085","E-085","M-087",1,0,NA,NA,NA,NA,NA,2005-05-12
"E-143",2,"E",2004-08-12,"E-085","E-085","M-087",2,0,NA,NA,NA,NA,NA,2012-04-12
"E-144",1,"E",2004-09-12,"E-103","E-103","T-092",1,0,NA,NA,NA,NA,NA,2005-05-12
"E-145",2,"E",2004-09-12,"E-103","E-103","T-092",2,0,NA,NA,NA,NA,NA,2006-07-12
"E-146",2,"E",2004-10-12,"E-104","E-104","T-092",1,0,NA,NA,NA,NA,NA,2011-05-12
"E-147",2,"E",2004-11-12,"E-113","E-113","A-174",1,0,NA,NA,NA,NA,NA,2005-09-12
"E-148",2,"E",2004-11-12,"E-001","E-001","M-087",1,0,NA,NA,NA,NA,NA,2007-01-12
"E-149",2,"E",2005-04-12,"E-083","E-083","M-087",1,0,NA,NA,NA,NA,NA,2007-07-12
"E-150",1,"E",2005-04-12,"E-111","E-111","T-092",1,0,NA,NA,NA,NA,NA,2006-08-12
"E-151",2,"E",2005-06-12,"E-118","E-118","A-174",1,0,NA,NA,NA,NA,NA,2006-01-12
"E-152",1,"E",2005-08-12,"E-122","E-122","M-144",1,0,NA,NA,NA,NA,NA,2015-01-12
"E-153",1,"E",2005-08-12,"E-001","E-001","M-087",1,0,NA,NA,NA,NA,NA,2007-03-12
"E-154",1,"E",2005-08-12,"E-001","E-001","M-087",2,0,NA,NA,NA,NA,NA,2014-06-12
"E-155",1,"E",2005-09-12,"E-113","E-113","A-174",1,0,NA,NA,NA,NA,NA,2009-04-12
"E-156",2,"E",2005-09-12,"E-113","E-113","A-174",2,0,NA,NA,NA,NA,NA,2009-10-12
"E-157",1,"E",2005-12-12,"E-005","E-005","M-087",1,0,NA,NA,NA,NA,NA,2013-03-12
"E-158",1,"E",2006-02-12,"E-003","E-003","M-087",1,0,NA,NA,NA,NA,NA,2008-08-12
"E-159",2,"E",2006-02-12,"E-086","E-086","M-084",1,0,NA,NA,NA,NA,NA,2014-04-12
"E-160",1,"E",2006-02-12,"E-086","E-086","M-084",2,0,NA,NA,NA,NA,NA,2007-01-12
"E-161",1,"E",2006-03-12,"E-117","E-117","A-174",1,0,NA,NA,NA,NA,NA,2018-06-12
"E-162",2,"E",2006-04-12,"E-120","E-120","A-174",1,0,NA,NA,NA,NA,NA,2007-02-12
"E-163",1,"E",2006-04-12,"E-120","E-120","A-174",2,0,NA,NA,NA,NA,NA,2007-06-12
"E-164",1,"E",2006-04-12,"E-118","E-118","A-174",1,0,NA,NA,NA,NA,NA,2015-07-12
"E-165",1,"E",2006-04-12,"E-118","E-118","A-174",2,0,NA,NA,NA,NA,NA,2008-02-12
"E-166",2,"E",2006-05-12,"E-122","E-122","M-144",1,0,NA,NA,NA,NA,NA,2011-06-12
"E-167",2,"E",2006-06-12,"E-110","E-110","M-134",1,0,NA,NA,NA,NA,NA,2013-04-12
"E-168",2,"E",2006-06-12,"E-110","E-110","M-134",2,0,NA,NA,NA,NA,NA,2009-05-12
"E-169",2,"E",2006-07-12,"E-092","E-092","N-102",1,0,NA,NA,NA,NA,NA,2007-11-12
"E-170",1,"E",2006-07-12,"E-111","E-111","M-134",1,0,NA,NA,NA,NA,NA,2013-04-12
"E-171",2,"E",2006-07-12,"E-103","E-103","M-134",1,0,NA,NA,NA,NA,NA,2018-07-12
"E-172",2,"E",2006-08-12,"E-130","E-130","S-084",1,0,NA,NA,NA,NA,NA,2012-08-12
"E-173",2,"E",2006-10-12,"E-117","E-117","A-174",1,0,NA,NA,NA,NA,NA,2009-02-12
"E-174",1,"E",2006-11-12,"E-138","E-138","A-232",1,0,NA,NA,NA,NA,NA,2018-01-12
"E-175",2,"E",2006-12-12,"E-113","E-113","A-174",1,0,NA,NA,NA,NA,NA,2007-11-12
"E-176",2,"E",2006-12-12,"E-120","E-120","A-174",1,0,NA,NA,NA,NA,NA,2008-01-12
"E-177",2,"E",2007-01-12,"E-110","E-110","M-134",1,0,NA,NA,NA,NA,NA,2019-09-12
"E-178",2,"E",2007-02-12,"E-146","E-146","M-194",1,0,NA,NA,NA,NA,NA,2015-03-12
"E-179",2,"E",2007-03-12,"E-130","E-130","S-084",1,0,NA,NA,NA,NA,NA,2022-12-12
"E-180",1,"E",2007-06-12,"E-118","E-118","A-174",1,0,NA,NA,NA,NA,NA,2008-01-12
"E-181",2,"E",2007-08-12,"E-136","E-136","A-232",1,0,NA,NA,NA,NA,NA,2011-02-12
"E-182",1,"E",2007-08-12,"E-083","E-083","M-087",1,0,NA,NA,NA,NA,NA,2019-08-12
"E-183",1,"E",2007-10-12,"E-130","E-130","S-084",1,0,NA,NA,NA,NA,NA,2008-09-12
"E-184",1,"E",2007-10-12,"E-113","E-113","A-174",1,0,NA,NA,NA,NA,NA,2008-04-12
"E-185",2,"E",2007-10-12,"E-122","E-122","M-144",1,0,NA,NA,NA,NA,NA,2011-04-12
"E-186",1,"E",2007-10-12,"E-122","E-122","M-144",2,0,NA,NA,NA,NA,NA,2010-06-12
"E-187",1,"E",2007-10-12,"E-103","E-103","M-134",1,0,NA,NA,NA,NA,NA,2009-01-12
"E-188",2,"E",2007-10-12,"E-103","E-103","M-134",2,0,NA,NA,NA,NA,NA,2011-09-12
"E-189",2,"E",2007-12-12,"E-092","E-092","N-102",1,0,NA,NA,NA,NA,NA,2012-07-12
"E-190",1,"E",2007-12-12,"E-092","E-092","N-102",2,0,NA,NA,NA,NA,NA,2009-06-12
"E-191",2,"E",2008-01-12,"E-110","E-110","M-134",1,0,NA,NA,NA,NA,NA,2011-08-12
"E-192",1,"E",2008-01-12,"E-110","E-110","M-134",2,0,NA,NA,NA,NA,NA,2015-03-12
"E-193",2,"E",2008-01-12,"E-086","E-086","M-084",1,0,NA,NA,NA,NA,NA,2009-11-12
"E-194",1,"E",2008-02-12,"E-138","E-138","A-232",1,0,NA,NA,NA,NA,NA,2018-08-12
"E-195",2,"E",2008-03-12,"E-140","E-140","A-232",1,0,NA,NA,NA,NA,NA,2011-04-12
"E-196",2,"E",2008-04-12,"E-156","E-156","N-153",1,0,NA,NA,NA,NA,NA,2020-01-12
"E-197",1,"E",2008-04-12,"E-111","E-111","M-134",1,0,NA,NA,NA,NA,NA,2012-11-12
"E-198",2,"E",2008-04-12,"E-111","E-111","M-134",2,0,NA,NA,NA,NA,NA,2010-09-12
"E-199",1,"E",2008-05-12,"E-120","E-120","A-174",1,0,NA,NA,NA,NA,NA,2008-11-12
"E-200",2,"E",2008-09-12,"E-146","E-146","M-194",1,0,NA,NA,NA,NA,NA,2017-04-12
"E-201",2,"E",2008-09-12,"E-117","E-117","A-174",1,0,NA,NA,NA,NA,NA,2009-07-12
"E-202",1,"E",2008-09-12,"E-136","E-136","A-232",1,0,NA,NA,NA,NA,NA,2013-11-12
"E-203",2,"E",2008-10-12,"E-166","E-166","F-113",1,0,NA,NA,NA,NA,NA,2012-03-12
"E-204",2,"E",2008-10-12,"E-083","E-083","M-087",1,0,NA,NA,NA,NA,NA,2011-06-12
"E-205",1,"E",2008-11-12,"E-122","E-122","M-144",1,0,NA,NA,NA,NA,NA,2010-03-12
"E-206",1,"E",2008-11-12,"E-103","E-103","M-134",1,0,NA,NA,NA,NA,NA,2010-08-12
"E-207",2,"E",2008-12-12,"E-138","E-138","A-232",1,0,NA,NA,NA,NA,NA,2013-08-12
"E-208",1,"E",2009-01-12,"E-140","E-140","A-232",1,0,NA,NA,NA,NA,NA,2010-01-12
"E-209",2,"E",2009-03-12,"E-156","E-156","N-153",1,0,NA,NA,NA,NA,NA,2010-05-12
"E-210",1,"E",2009-03-12,"E-083","E-083","M-084",1,0,NA,NA,NA,NA,NA,2013-12-12
"E-211",1,"E",2009-04-12,"E-143","E-143","M-190",1,0,NA,NA,NA,NA,NA,2022-09-12
"E-212",2,"E",2009-04-12,"E-130","E-130","A-232",1,0,NA,NA,NA,NA,NA,2011-08-12
"E-213",2,"E",2009-05-12,"E-111","E-111","M-134",1,0,NA,NA,NA,NA,NA,2014-02-12
"E-214",1,"E",2009-06-12,"E-110","E-110","M-134",1,0,NA,NA,NA,NA,NA,2011-01-12
"E-215",1,"E",2009-08-12,"E-103","E-103","M-134",1,0,NA,NA,NA,NA,NA,2012-09-12
"E-216",1,"E",2009-11-12,"E-092","E-092","N-102",1,0,NA,NA,NA,NA,NA,2011-04-12
"E-217",2,"E",2009-12-12,"E-113","E-113","M-144",1,0,NA,NA,NA,NA,NA,2016-09-12
"E-218",2,"E",2009-12-12,"E-113","E-113","M-144",2,0,NA,NA,NA,NA,NA,2011-03-12
"E-219",2,"E",2009-12-12,"E-117","E-117","M-144",1,0,NA,NA,NA,NA,NA,2010-12-12
"E-220",2,"E",2010-01-12,"E-166","E-166","F-113",1,0,NA,NA,NA,NA,NA,2011-03-12
"E-221",2,"E",2010-02-12,"E-171","E-171","F-113",1,0,NA,NA,NA,NA,NA,2011-03-12
"E-222",2,"E",2010-02-12,"E-159","E-159","S-108",1,0,NA,NA,NA,NA,NA,2011-06-12
"E-223",2,"E",2010-05-12,"E-179","E-179","L-221",1,0,NA,NA,NA,NA,NA,2011-05-12
"E-224",2,"E",2010-05-12,"E-181","E-181","L-228",1,0,NA,NA,NA,NA,NA,2018-03-12
"E-225",2,"E",2010-05-12,"E-122","E-122","M-144",1,0,NA,NA,NA,NA,NA,2011-05-12
"E-226",1,"E",2010-05-12,"E-122","E-122","M-144",2,0,NA,NA,NA,NA,NA,2011-09-12
"E-227",2,"E",2010-05-12,"E-146","E-146","M-194",1,0,NA,NA,NA,NA,NA,2014-02-12
"E-228",1,"E",2010-06-12,"E-113","E-113","M-144",1,0,NA,NA,NA,NA,NA,2012-06-12
"E-229",2,"E",2010-07-12,"E-172","E-172","M-236",1,0,NA,NA,NA,NA,NA,2017-02-12
"E-230",1,"E",2010-08-12,"E-110","E-110","M-134",1,0,NA,NA,NA,NA,NA,2016-01-12
"E-231",1,"E",2010-08-12,"E-110","E-110","M-134",2,0,NA,NA,NA,NA,NA,2011-02-12
"E-232",1,"E",2011-01-12,"E-177","E-177","L-221",1,0,NA,NA,NA,NA,NA,2016-01-12
"E-233",1,"E",2011-05-12,"E-203","E-203","L-180",1,0,NA,NA,NA,NA,NA,2012-04-12
"E-234",1,"E",2011-05-12,"E-167","E-167","F-113",1,0,NA,NA,NA,NA,NA,2012-03-12
"E-235",1,"E",2011-06-12,"E-179","E-179","L-221",1,0,NA,NA,NA,NA,NA,2022-12-12
"E-236",1,"E",2011-06-12,"E-179","E-179","L-221",2,0,NA,NA,NA,NA,NA,2012-08-12
"E-237",2,"E",2011-06-12,"E-171","E-171","F-113",1,0,NA,NA,NA,NA,NA,2014-05-12
"E-238",1,"E",2011-06-12,"E-143","E-143","M-190",1,0,NA,NA,NA,NA,NA,2022-12-12
"E-239",1,"E",2011-06-12,"E-159","E-159","S-108",1,0,NA,NA,NA,NA,NA,2018-06-12
"E-240",1,"E",2011-09-12,"E-130","E-130","A-232",1,0,NA,NA,NA,NA,NA,2013-08-12
"E-241",2,"E",2012-03-12,"E-203","E-203","L-180",1,0,NA,NA,NA,NA,NA,2013-11-12
"E-242",1,"E",2012-04-12,"E-179","E-179","L-221",1,0,NA,NA,NA,NA,NA,2020-03-12
"E-243",1,"E",2012-06-12,"E-207","E-207","L-214",1,0,NA,NA,NA,NA,NA,2014-01-12
"E-244",1,"E",2012-06-12,"E-213","E-213","A-340",1,0,NA,NA,NA,NA,NA,2018-06-12
"E-245",2,"E",2012-08-12,"E-167","E-167","F-113",1,0,NA,NA,NA,NA,NA,2013-07-12
"E-246",2,"E",2012-10-12,"E-130","E-130","A-232",1,0,NA,NA,NA,NA,NA,2022-12-12
"E-247",1,"E",2012-10-12,"E-130","E-130","A-232",2,0,NA,NA,NA,NA,NA,2013-05-12
"E-248",2,"E",2012-10-12,"E-177","E-177","L-221",1,0,NA,NA,NA,NA,NA,2014-08-12
"E-249",1,"E",2012-11-12,"E-178","E-178","L-221",1,0,NA,NA,NA,NA,NA,2017-04-12
"E-250",1,"E",2013-01-12,"E-171","E-171","F-113",1,0,NA,NA,NA,NA,NA,2022-12-12
"E-251",1,"E",2013-02-12,"E-196","E-196","S-107",1,0,NA,NA,NA,NA,NA,2014-09-12
"E-252",1,"E",2013-03-12,"E-207","E-207","L-214",1,0,NA,NA,NA,NA,NA,2014-06-12
"E-253",2,"E",2013-03-12,"E-207","E-207","L-214",2,0,NA,NA,NA,NA,NA,2014-05-12
"E-254",2,"E",2013-04-12,"E-227","E-227","N-239",1,0,NA,NA,NA,NA,NA,2022-12-12
"E-255",1,"E",2013-06-12,"E-224","E-224","N-239",1,0,NA,NA,NA,NA,NA,2018-07-12
"E-256",2,"E",2013-06-12,"E-224","E-224","N-239",2,0,NA,NA,NA,NA,NA,2021-12-12
"E-257",1,"E",2013-06-12,"E-179","E-179","L-221",1,0,NA,NA,NA,NA,NA,2022-12-12
"E-258",1,"E",2013-07-12,"E-200","E-200","L-214",1,0,NA,NA,NA,NA,NA,2014-06-12
"E-259",1,"E",2013-07-12,"E-200","E-200","L-214",2,0,NA,NA,NA,NA,NA,2022-08-12
"E-260",2,"E",2013-08-12,"E-217","E-217","A-350",1,0,NA,NA,NA,NA,NA,2014-05-12
"E-261",1,"E",2013-08-12,"E-217","E-217","A-350",2,0,NA,NA,NA,NA,NA,2022-12-12
"E-262",1,"E",2013-08-12,"E-177","E-177","L-221",1,0,NA,NA,NA,NA,NA,2018-02-12
"E-263",1,"E",2013-08-12,"E-159","E-159","F-113",1,0,NA,NA,NA,NA,NA,2018-01-12
"E-264",1,"E",2013-08-12,"E-159","E-159","F-113",2,0,NA,NA,NA,NA,NA,2022-12-12
"E-265",1,"E",2013-11-12,"E-237","E-237","N-277",1,0,NA,NA,NA,NA,NA,2020-01-12
"E-266",2,"E",2014-03-12,"E-171","E-171","F-113",1,0,NA,NA,NA,NA,NA,2014-11-12
"E-267",1,"E",2014-08-12,"E-217","E-217","A-350",1,0,NA,NA,NA,NA,NA,2022-12-12
"E-268",2,"E",2014-08-12,"E-196","E-196","S-107",1,0,NA,NA,NA,NA,NA,2016-06-12
"E-269",1,"E",2014-10-12,"E-229","E-229","N-239",1,0,NA,NA,NA,NA,NA,2015-06-12
"E-270",2,"E",2014-12-12,"E-246","E-246","A-442",1,0,NA,NA,NA,NA,NA,2017-09-12
"E-271",1,"E",2015-01-12,"E-224","E-224","N-239",1,0,NA,NA,NA,NA,NA,2016-04-12
"E-272",2,"E",2015-03-12,"E-179","E-179","S-107",1,0,NA,NA,NA,NA,NA,2018-08-12
"E-273",1,"E",2015-03-12,"E-179","E-179","S-107",2,0,NA,NA,NA,NA,NA,2022-12-12
"E-274",2,"E",2015-03-12,"E-177","E-177","S-107",1,0,NA,NA,NA,NA,NA,2016-01-12
"E-275",2,"E",2015-05-12,"E-217","E-217","A-350",1,0,NA,NA,NA,NA,NA,2022-12-12
"E-276",1,"E",2015-05-12,"E-217","E-217","A-350",2,0,NA,NA,NA,NA,NA,2015-10-12
"E-277",2,"E",2015-05-12,"E-200","E-200","L-214",1,0,NA,NA,NA,NA,NA,2017-05-12
"E-278",1,"E",2015-06-12,"E-130","E-130","A-232",1,0,NA,NA,NA,NA,NA,2021-07-12
"E-279",2,"E",2015-06-12,"E-130","E-130","A-232",2,0,NA,NA,NA,NA,NA,2022-12-12
"E-280",1,"E",2015-07-12,"E-171","E-171","S-107",1,0,NA,NA,NA,NA,NA,2022-12-12
"E-281",2,"E",2015-09-12,"E-246","E-246","A-442",1,0,NA,NA,NA,NA,NA,2022-12-12
"E-282",1,"E",2015-12-12,"E-224","E-224","N-239",1,0,NA,NA,NA,NA,NA,2017-02-12
